"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
1337824,"Two Layer Acrylic Container Nail Polish Makeup Display Shelf",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/A6/42/4e08647d-b95e-4388-a12d-7e9e6cbd81b5.JPG,https://usa.banggood.com/Two-Layer-Acrylic-Container-Nail-Polish-Makeup-Display-Shelf-reviews-p1337824.html,"27,06€",€4.45,https://usa.banggood.com/Two-Layer-Acrylic-Container-Nail-Polish-Display-Shelf-Makeup-Case-Cosmetic-Storage-Holder-Organizer-p-1337824.html?p=4T181370308054202203&custlinkid=1816778
1360529,"5ml Eyelashes Extension Glue 1-3 Seconds Fast Drying False Eyelash Adhesive",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/C0/93/4c5433b6-04ca-4bbe-9795-f42c905e3925.jpg,https://usa.banggood.com/5ml-Eyelashes-Extension-Glue-1-3-Seconds-Fast-Drying-False-Eyelash-Adhesive-reviews-p1360529.html,"18,22€",€3,https://usa.banggood.com/5ml-Eyelashes-Extension-Glue-1-3-Seconds-Fast-Drying-False-Eyelash-Adhesive-p-1360529.html?p=4T181370308054202203&custlinkid=1816779
1380376,"Oxford Cloth Makeup Bags",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/96/CE/12bdbf68-f8c2-4eb8-a4f5-70b8897b5e08.jpg,https://usa.banggood.com/Oxford-Cloth-Makeup-Bags-reviews-p1380376.html,"14,58€",€2.4,https://usa.banggood.com/Oxford-Cloth-Makeup-Bags-Large-Storage-Cosmetic-Bag-For-Women-Men-Travel-Storage-BagLarge-Storage-Cosmetic-Bag-For-Women-Men-Travel-Storage-Bag-p-1380376.html?p=4T181370308054202203&custlinkid=1816780
1618123,"50Pcs Cosmetic Bag  Empty Jar Pots Eyeshadow Makeup Face Cream Lip Balm Container 3ml",https://imgaz1.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/96/99/adc6d77b-bd48-43ae-8592-370fb0c20242.jpg,https://usa.banggood.com/50Pcs-Cosmetic-Bag-Empty-Jar-Pots-Eyeshadow-Makeup-Face-Cream-Lip-Balm-Container-3ml-reviews-p1618123.html,"17,31€",€2.85,https://usa.banggood.com/50Pcs-Cosmetic-Bag-Empty-Jar-Pots-Eyeshadow-Makeup-Face-Cream-Lip-Balm-Container-3ml-p-1618123.html?p=4T181370308054202203&custlinkid=1816781
1621928,"Electric Heated Eyelash Curler Quick Heating Long Lasting Curled Eyelashes Painless Curved Beauty Make Up Tool",https://imgaz3.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/8B/80/c50e7548-1bee-4328-9413-6553cd93a00d.jpeg,https://usa.banggood.com/Electric-Heated-Eyelash-Curler-Quick-Heating-Long-Lasting-Curled-Eyelashes-Painless-Curved-Beauty-Make-Up-Tool-reviews-p1621928.html,"21,87€",€3.6,https://usa.banggood.com/Electric-Heated-Eyelash-Curler-Quick-Heating-Long-Lasting-Curled-Eyelashes-Painless-Curved-Beauty-Make-Up-Tool-p-1621928.html?p=4T181370308054202203&custlinkid=1816782
1621930,"5 Colors Colorful Shimmer Glitter Liquid Eye Shadow Eye Makeup Long-Lasting ",https://imgaz1.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/8A/74/f422944b-1d70-4bb8-8fd4-ec9fed4e19df.jpg,https://usa.banggood.com/5-Colors-Colorful-Shimmer-Glitter-Liquid-Eye-Shadow-Eye-Makeup-Long-Lasting--reviews-p1621930.html,"7,28€",€1.6,https://usa.banggood.com/5-Colors-Colorful-Shimmer-Glitter-Liquid-Eye-Shadow-Eye-Makeup-Long-Lasting--p-1621930.html?p=4T181370308054202203&custlinkid=1816783
1622160,"Glow Kit Highlighter Makeup Shimmer Face Body Heart Highlighter Blush Palette Illuminator Highlight Contour Golden Bronzer",https://imgaz3.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/85/C6/90971886-e389-4e79-9b9e-31681ade9ac8.jpg,https://usa.banggood.com/Glow-Kit-Highlighter-Makeup-Shimmer-Face-Body-Heart-Highlighter-Blush-Palette-Illuminator-Highlight-Contour-Golden-Bronzer-reviews-p1622160.html,"11,84€",€1.95,https://usa.banggood.com/Glow-Kit-Highlighter-Makeup-Shimmer-Face-Body-Heart-Highlighter-Blush-Palette-Illuminator-Highlight-Contour-Golden-Bronzer-p-1622160.html?p=4T181370308054202203&custlinkid=1816784
1622161,"Mushroom Head Air Cushion BB Cream Korean Makeup Moisturizing Oil Control Concealer Waterproof Natural Brightening BBcream TSLM1",https://imgaz.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/1E/21/c502bc72-7091-44b5-9ce8-8a0b2ad2201e.jpg,https://usa.banggood.com/Mushroom-Head-Air-Cushion-BB-Cream-Korean-Makeup-Moisturizing-Oil-Control-Concealer-Waterproof-Natural-Brightening-BBcream-TSLM1-reviews-p1622161.html,"20,05€",€3.3,https://usa.banggood.com/Mushroom-Head-Air-Cushion-BB-Cream-Korean-Makeup-Moisturizing-Oil-Control-Concealer-Waterproof-Natural-Brightening-BBcream-TSLM1-p-1622161.html?p=4T181370308054202203&custlinkid=1816785
1622424,"Electric Eyelash Curler Heated Long Lasting Curling Brush Mascara Lash Curler",https://imgaz.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/44/15/c212a53d-d17c-41bf-ac44-e03e91fe4b40.jpg,https://usa.banggood.com/Electric-Eyelash-Curler-Heated-Long-Lasting-Curling-Brush-Mascara-Lash-Curler-reviews-p1622424.html,"11,84€",€1.95,https://usa.banggood.com/Electric-Eyelash-Curler-Heated-Long-Lasting-Curling-Brush-Mascara-Lash-Curler-p-1622424.html?p=4T181370308054202203&custlinkid=1816786
1641920,"LED Tattoo Lamp Beauty Mirrors  Lamp Magnifying Glass Cold Light Clip Lamp",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/E0/B8/0cd330e5-cbc4-4cfe-9445-00f407749558.png,https://usa.banggood.com/LED-Tattoo-Lamp-Beauty-Mirrors-Lamp-Magnifying-Glass-Cold-Light-Clip-Lamp-reviews-p1641920.html,"27,34€",€4.5,https://usa.banggood.com/LED-Tattoo-Lamp-Beauty-Mirrors-Lamp-Magnifying-Glass-Cold-Light-Clip-Lamp-p-1641920.html?p=4T181370308054202203&custlinkid=1816787
